188;cachaceiro;pessoa que bebeu de mais
189;alcóolatra;pessoa que bebeu de mais
190;bebão;pessoa que bebeu de mais
191;beberrão;pessoa que bebeu de mais
192;cigarro de fumo;cigarro que as pessoa faziam antigamente, enrrolado a mão
193;cigarro de corda;cigarro que as pessoa faziam antigamente, enrrolado a mão
194;cigarro de palha;cigarro que as pessoa faziam antigamente, enrrolado a mão
195;pacaia;cigarro que as pessoa faziam antigamente, enrrolado a mão
196;beata;resto de cigarro que se joga fora
197;bituca;resto de cigarro que se joga fora
198;bicuta;resto de cigarro que se joga fora
199;pituca;resto de cigarro que se joga fora
200;biola;resto de cigarro que se joga fora
201;piola;resto de cigarro que se joga fora
202;goia;resto de cigarro que se joga fora
203;baga;resto de cigarro que se joga fora
204;pnta de cigarro;resto de cigarro que se joga fora
205;feitiço;ajuda dos espiritos para prejudicar alguém
206;catimbó;ajuda dos espiritos para prejudicar alguém
207;daspacho;ajuda dos espiritos para prejudicar alguém
208;macumba;ajuda dos espiritos para prejudicar alguém
209;bruxaria;ajuda dos espiritos para prejudicar alguém
210;bunda canastra;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
211;cambalhota;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
212;pulo mortal;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
213;ginástica;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
214;pulo de costa;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
215;cangapé;brincadeira em que se gira o corpo sobre a cabeça e acaba sentado
216;bola de gude;bolinhas de vidro que os meninos gostam de brincar
217;bola de vidro;bolinhas de vidro que os meninos gostam de brincar
218;bila;bolinhas de vidro que os meninos gostam de brincar
219;bolita;bolinhas de vidro que os meninos gostam de brincar
220;ximbra;bolinhas de vidro que os meninos gostam de brincar
221;baladeira;objeto feito de uma forquilha e de duas tiras de borracha e que os meninos usam para matar passarinho 
222;baleeira;objeto feito de uma forquilha e de duas tiras de borracha e que os meninos usam para matar passarinho 
223;peteca;objeto feito de uma forquilha e de duas tiras de borracha e que os meninos usam para matar passarinho 
224;estilingue;objeto feito de uma forquilha e de duas tiras de borracha e que os meninos usam para matar passarinho 
225;badoque;objeto feito de uma forquilha e de duas tiras de borracha e que os meninos usam para matar passarinho 
226;gangorra;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
227;balanço;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
228;balancim;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
229;balançador;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
230;burrica;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
231;canoa;tábua apoiada no meio, em cujas pontas sentam duas crianças e quando uma sobe, a outra desce
232;cademia;jogo em que as crianças riscam no chão, formada por dez quadrados numerados, com um céu e um inferno, e elas vão pulando com uma perna só
233;amarelinha;jogo em que as crianças riscam no chão, formada por dez quadrados numerados, com um céu e um inferno, e elas vão pulando com uma perna só
234;avião;jogo em que as crianças riscam no chão, formada por dez quadrados numerados, com um céu e um inferno, e elas vão pulando com uma perna só
235;macaco;jogo em que as crianças riscam no chão, formada por dez quadrados numerados, com um céu e um inferno, e elas vão pulando com uma perna só
236;grampo;objeto fino de metal capaz de prender o cabelo
237;biliro;objeto fino de metal capaz de prender o cabelo
238;friso;objeto fino de metal capaz de prender o cabelo
